**banking___survey___at_current_exchange_rate,unnamed:_1,2014,unnamed:_3,unnamed:_4,unnamed:_5,unnamed:_6,unnamed:_7,unnamed:_8,unnamed:_9,unnamed:_10,unnamed:_11,unnamed:_12,unnamed:_13,2015,unnamed:_15,unnamed:_16,unnamed:_17,unnamed:_18,unnamed:_19,unnamed:_20,unnamed:_21,unnamed:_22,unnamed:_23,unnamed:_24,unnamed:_25,2016,unnamed:_27,unnamed:_28,unnamed:_29,unnamed:_30,unnamed:_31,unnamed:_32,unnamed:_33,unnamed:_34,unnamed:_35,unnamed:_36,unnamed:_37,2017,unnamed:_39,unnamed:_40,unnamed:_41,unnamed:_42,unnamed:_43,unnamed:_44,unnamed:_45,unnamed:_46,unnamed:_47,unnamed:_48,unnamed:_49,2018,unnamed:_51,unnamed:_52,unnamed:_53,unnamed:_54,unnamed:_55,unnamed:_56,unnamed:_57,unnamed:_58,unnamed:_59,unnamed:_60,unnamed:_61,2019,unnamed:_63,unnamed:_64,unnamed:_65,unnamed:_66,unnamed:_67,unnamed:_68,unnamed:_69,unnamed:_70,unnamed:_71,unnamed:_72,unnamed:_73,2020,unnamed:_75,unnamed:_76,unnamed:_77,unnamed:_78,unnamed:_79,unnamed:_80,unnamed:_81,unnamed:_82,unnamed:_83,unnamed:_84,unnamed:_85,2021,unnamed:_87,unnamed:_88,unnamed:_89,unnamed:_90,unnamed:_91,unnamed:_92,unnamed:_93,unnamed:_94,unnamed:_95,unnamed:_96,unnamed:_97,2022,unnamed:_99,unnamed:_100,unnamed:_101,unnamed:_102,unnamed:_103,unnamed:_104,unnamed:_105,unnamed:_106,unnamed:_107,unnamed:_108,unnamed:_109,2023,unnamed:_111,unnamed:_112,unnamed:_113,unnamed:_114,unnamed:_115,unnamed:_116,unnamed:_117,unnamed:_118,unnamed:_119,unnamed:_120,unnamed:_121,2024,unnamed:_123,unnamed:_124,unnamed:_125,unnamed:_126,unnamed:_127,unnamed:_128,unnamed:_129,unnamed:_130,unnamed:_131,unnamed:_132,unnamed:_133,2025,unnamed:_135,unnamed:_136,unnamed:_137,unnamed:_138,unnamed:_139,unnamed:_140,unnamed:_141,unnamed:_142,unnamed:_143,unnamed:_144
,(KSHS M),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prov,Prov,Prov,Prov,Prov,Prov,Prov,Prov,Prov,Prov,Prov,Prov,Prov,Prov,Prov,Prov,Prov
,Central Government (Net),"9,352","4,757",160.7699499,156.8581766,152.9464033,149.03463,155.4922357,161.9498413,168.407447,234.3826403,300.3578337,366.333027,296.274897,226.216767,156.158637,131.9325153,107.7063937,83.480272,87.025808,90.571344,94.11688,91.94320667,89.76953333,87.59586,90.98449533,94.37313067,97.761766,99.08286233,100.4039587,101.725055,102.1245907,102.5241263,102.923662,102.111894,101.300126,100.488358,81.030379,32.05807935,44.40528382,35.46080734,28.13648766,77.03062897,75.09141436,61.59924876,74.64427773,81.16934017,50.95270628,236.9439021,377.5233864,386.3721372,469.91137,494.5107042,523.5432415,375.160767,420.663021,330.6662435,220.1578789,218.3335412,217.8544836,170.9191251,164.3904625,163.4944411,166.7127003,123.6047618,130.4171899,187.7435387,375.1255918,187.0983273,183.9034418,272.2543645,259.4557744,219.73616,270.893993,146.4557852,176.3043175,484.0453187,620.3664655,787.5527287,866.6589625,"1,182","1,051","1,125","1,549","1,561","1,482","1,327","1,454","1,905","1,905","2,057","2,377","2,518","2,744","3,389","3,430","3,469","3,482","3,896","3,715","3,569","5,425","6,757","7,731","8,383","9,049","9,666","10,341","10,635","10,865","10,787","11,179",10208.74021,11529.16679,10782.79269,12205.52906,12855.25167,14006.22145,13960.88532,14325.53487,14177.69238,14205.77538,14195.28141,15323.73754,15371.58245,15461.12636,14500.92401,16255.33947,16508.40617,16588.58512,16475.57565,16492.07762,16202.70379,16103.94651,17412.29271,15802.32072,16237.73188,15527.52463,15886.3684,16024.1963,16512.55076,16868.41655,18171.46837,18180.21571
,County Government (Net),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Public Non Financial Corp (Net),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,681.3155412,"1,363","2,044","2,047","2,051","2,054","2,068","2,083","2,097","2,115","2,132","2,150","2,050",16.2305893,"1,280","1,306","1,329","1,340","1,344","1,767","1,302","1,330","1,386","1,415","2,368","2,296","2,550","2,626","2,649","2,637","2,696","2,840","2,693","2,722","2,758","2,820","2,858","2,815","2,819","2,575","2,410","2,249","2,213","2,271","2,266","2,214","2,223","2,320","2,835","2,896","2,927","3,392","2,938","3,070","3,090","3,047","2,973","2,924","2,922","2,851","2,734","2,685","2,662","2,563","2,569","2,576","2,543","2,565","2,637","2,317","2,328","2,286","2,384","2,390","2,429","2,425","2,434","2,407","2,273","2,362","2,347","2,221","2,268","2,249","2,280","2,255","2,281",-694.520561,-708.710717,-696.111531,-663.0152753,-668.4890121,-651.0906354,-624.4838732,-615.2201687,-613.2449917,-601.7432795,-590.7143365,-622.4276981,-612.8165736,-617.268046,-475.9539717,-471.9159069,-588.4166027,-772.5439279,-739.9501509,-720.9541378,-721.7422259,-749.845323,-771.4934575,-811.4517017,-783.8498919,-777.3256348,-762.1194391,-740.4659203,-820.5645109,-850.970748,-870.2263536,-843.2876213
,Private sector credit ,"192,740","192,124","191,508","194,682","197,856","201,031","204,842","208,653","212,465","217,818","223,171","228,524","228,347","228,170","227,993","229,512","231,030","232,548","234,669","236,790","238,911","242,252","245,593","248,934","252,029","255,123","258,217","261,285","264,353","267,422","271,696","275,971","280,246","284,387","288,528","292,669","292,284","296,060","288,092","296,757","303,934","306,516","308,909","315,143","320,603","320,550","326,257","332,358","334,794","338,816","340,192","341,715","342,713","345,755","347,660","360,784","361,210","363,364","369,357","373,902","377,333","375,840","377,575","381,024","383,952","388,645","392,405","399,189","403,402","405,815","412,769","421,132","426,471","427,726","429,824","431,546","423,886","427,205","430,951","442,958","455,130","462,121","469,108","475,413","479,095","481,541","483,401","485,410","489,530","493,867","500,073","503,934","509,523","513,986","518,730","523,660","526,431","526,554","530,872","536,323","541,138","544,901","546,559","552,139","561,488","569,297","577,574","587,258","595,573","599,222","601,062",607615.4588,611981.1773,617276.3422,620287.3468,630118.2507,638105.5048,639989.6182,648511.3685,655444.0264,663004.7879,670129.8705,670432.2263,676053.6256,682506.7945,671677.9383,677758.3791,699143.116,724453.2017,728947.5933,740021.7994,747029.6519,751770.2725,756984.6898,759646.4586,768893.8416,776982.3901,783710.5228,792341.7233,812072.0375,822703.5328,829459.1613,839549.1222
,Credit to Other Financial Corporations(Net),"10,992","11,294","11,596","12,283","12,970","13,657","13,748","13,840","13,931","14,108","14,285","14,462","14,224","13,986","13,748","14,074","14,399","14,725","14,994","15,263","15,532","14,867","14,202","13,538","8,348","3,159","-2,030","-2,030","-2,030","-2,030","-2,051","-2,072","-2,093","-2,106","-2,119","-2,132","4,088","5,084","6,894","5,638","5,079","5,025","6,157","7,419","7,356","6,841","7,087","6,125","3,420","4,549","4,586","4,482","4,842","4,034","5,060","4,674","4,370","4,968","5,032","4,744","3,913","4,507","4,505","4,065","4,036","3,541","3,551","3,113","3,505","3,327","2,672","2,633","4,185","5,254","5,319","5,987","5,901","4,328","6,116","6,434","5,751","5,954","5,680","5,002","6,139","6,178","5,881","5,035","5,552","4,449","6,126","5,323","4,623","5,730","6,603","5,220","5,103","6,708","5,471","7,073","6,459","5,430","6,805","6,578","6,420","8,236","8,173","7,586","7,944","8,453","7,263",9361.28132,8946.470202,7046.347026,8676.561589,9070.361879,9033.96369,10312.93104,10420.57459,9012.737462,8636.322836,8660.068061,8559.538093,8154.664963,8980.670085,8567.919819,9754.34307,9470.990042,8236.140805,8532.403552,8332.500367,8565.125631,7540.939902,8496.563473,7840.376357,7718.340947,6986.961043,6683.682069,8163.942883,8391.315144,7315.9315,6497.107415,7783.650173
,Credit to CBK(Net),"3,255","2,608","1,962","2,107","2,253","2,399","2,477","2,555","2,633","2,644","2,656","2,667","2,654","2,642","2,629","2,713","2,797","2,881","2,808","2,736","2,663","2,740","2,816","2,892","2,999","3,106","3,212","3,232","3,251","3,270","3,258","3,246","3,234","3,190","3,146","3,102","3,130","3,314","3,216","3,331","3,506","3,451","3,303","3,586","3,414","4,412","3,747","3,317","3,686","3,889","3,681","3,719","3,802","3,507","3,830","4,697","4,008","4,868","4,237","4,402","3,813","4,354","4,165","4,393","4,338","4,295","4,669","4,188","4,637","6,639","4,214","4,860","4,536","4,668","4,944","4,944","4,441","4,282","4,628","5,280","5,729","5,801","4,523","4,318","4,227","5,082","5,016","4,475","4,521","4,486","4,084","4,664","4,752","4,753","4,635","4,538","4,497","4,857","4,792","4,656","4,711","4,757","5,166","5,157","5,204","4,583","5,028","5,112","4,793","5,441","5,442",5105.836157,5683.095282,5497.102312,5371.643353,5097.898642,4697.965305,5495.541519,5083.033386,5298.381419,5059.786237,5403.323691,5235.074661,5254.530229,5227.859103,6051.319443,5418.462685,4961.917776,5532.510708,6555.050804,6014.801913,6087.035886,6335.513024,6451.648088,6522.99369,6693.619287,7104.161535,6222.209876,6832.928092,6253.984743,6171.395933,8793.24733,8244.472908
,Other Items (Net ) ,"-35,378","-31,543","-27,709","-27,035","-26,361","-25,686","-27,789","-29,891","-31,993","-34,677","-37,361","-40,045","-36,576","-33,107","-29,638","-28,778","-27,917","-27,057","-29,177","-31,296","-33,416","-32,074","-30,732","-29,391","-25,441","-21,491","-17,541","-17,515","-17,489","-17,463","-19,963","-22,463","-24,962","-24,355","-23,747","-23,140","-36,222","-32,240","-28,922","-28,164","-29,082","-28,549","-30,931","-37,153","-39,746","-25,732","-32,823","-36,464","-32,871","-37,008","-33,812","-30,491","-33,493","-32,632","-37,687","-43,517","-43,999","-31,609","-39,241","-43,744","-47,682","-42,456","-36,428","-35,832","-36,397","-36,499","-38,573","-41,317","-43,298","-39,734","-45,622","-50,084","-57,023","-50,560","-46,705","-42,057","-34,835","-33,549","-38,225","-45,560","-52,054","-50,168","-54,663","-58,052","-59,637","-54,939","-50,995","-46,746","-52,628","-52,632","-55,814","-57,572","-60,062","-58,663","-63,785","-65,871","-61,241","-54,352","-50,092","-54,378","-58,875","-60,441","-56,157","-61,354","-70,134","-77,091","-81,039","-90,400","-92,374","-98,578","-85,070",-89033.30821,-92692.07876,-91125.64387,-90820.17849,-98661.81993,-106545.4469,-98921.00522,-105722.1437,-109677.1988,-109381.1739,-101252.7691,-91143.46248,-94882.80003,-99640.48415,-85389.44674,-87997.30967,-104521.177,-120022.9718,-111952.692,-119726.614,-125330.8178,-121614.3127,-111756.5627,-105504.9811,-111615.1225,-115736.7428,-116448.9867,-116737.5364,-134730.8461,-141211.3287,-139404.0091,-147716.5522
,Of which;  Capital Accounts,"39,023","39,651","40,279","42,281","44,283","46,284","47,698","49,112","50,525","51,145","51,764","52,384","54,034","55,685","57,335","57,919","58,502","59,085","59,289","59,493","59,696","60,925","62,154","63,384","63,806","64,228","64,651","66,219","67,787","69,355","70,997","72,638","74,279","75,565","76,851","78,137","75,142","76,155","74,676","75,638","78,148","80,382","82,028","84,459","85,891","88,594","90,276","89,814","81,580","89,898","90,410","91,281","90,955","93,118","94,063","99,220","99,689","103,869","106,879","107,113","105,038","104,101","104,488","102,799","104,552","109,093","112,089","115,454","117,164","120,574","122,840","124,013","124,203","124,959","125,900","125,710","126,755","129,756","131,748","133,534","137,381","139,933","142,757","142,907","139,096","137,417","137,970","141,196","143,825","146,541","148,185","149,909","153,362","155,965","160,245","159,680","153,248","150,331","146,755","149,683","151,988","156,395","158,874","162,328","166,015","169,083","172,533","175,455","172,778","169,816","166,256",168440.6926,171787.6713,176764.0797,177164.4687,180612.9535,183907.8672,187444.082,190948.0251,193203.8976,191326.2531,187918.3991,189437.6192,182094.0194,185807.3684,195207.7068,201003.7249,210455.2788,205346.7229,210357.1296,215288.1731,217159.3202,214297.0366,207617.5253,208598.993,212510.2101,214812.5583,221643.8051,226231.4602,231442.3522,236459.1861,241536.7215,245397.4463
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Deposits included in Broad Money,"180,961","179,239","177,517","182,195","186,872","191,549","193,434","195,319","197,204","200,127","203,051","205,974","208,945","211,917","214,889","217,653","220,417","223,181","223,382","223,583","223,784","227,876","231,969","236,061","238,707","241,354","244,000","247,118","250,236","253,355","255,111","256,868","258,624","263,333","268,041","272,749","265,412","272,266","270,606","278,903","284,793","287,859","288,858","290,824","293,004","307,482","305,706","306,988","311,775","312,928","317,667","322,545","321,037","323,676","321,980","329,809","328,502","344,532","342,360","342,296","340,399","345,222","352,803","356,350","358,470","362,420","364,641","367,632","370,072","378,534","376,515","381,081","381,275","390,131","396,485","404,295","402,952","406,123","407,426","413,341","418,580","427,757","429,120","431,094","434,040","441,874","447,418","452,642","451,450","454,803","459,390","461,433","464,217","471,513","471,942","473,302","480,656","490,053","497,187","499,668","501,292","503,811","512,376","513,264","514,373","516,912","522,346","522,440","529,082","527,581","542,157",542563.4877,544739.1201,548780.8288,555057.887,557811.454,558647.1178,570213.487,572003.1475,573642.3938,580923.7552,596545.0603,607784.6864,609338.7867,611918.6978,614932.7008,620717.2988,624974.8365,634014.9226,647817.9811,650413.6111,651831.9571,659386.514,676817.1379,683495.7166,687144.5612,690086.9689,695291.677,705884.7883,707678.4776,710996.9773,722646.749,725197.6212
,Vertical Check,-1.53E-07,-3.07E-07,-4.60E-07,-2.47E-07,-3.32E-08,1.80E-07,1.47E-07,1.13E-07,8.00E-08,8.31E-08,8.61E-08,8.92E-08,1.57E-07,2.24E-07,2.92E-07,7.89E-08,-1.34E-07,-3.47E-07,-1.64E-07,1.96E-08,2.03E-07,1.04E-07,4.92E-09,-9.41E-08,-6.27E-08,-3.13E-08,0,-9.01E-05,-0.000180267,-0.0002704,-0.000180167,-8.99E-05,2.98E-07,1.24E-07,-4.94E-08,-2.23E-07,-1.18E-07,-3.13E-07,0,-8.28E-08,3.46E-07,0,2.61E-07,5.56E-07,-5.82E-07,2.40E-07,-4.60E-07,4.67E-07,-2.91E-07,-3.11E-07,-3.60E-07,-7.41E-08,-2.28E-07,2.74E-07,6.76E-08,3.81E-08,-3.70E-07,3.09E-07,3.58E-07,2.40E-07,-6.00E-08,1.42E-07,-2.78E-07,-6.31E-07,7.00E-07,-8.80E-07,-2.85E-07,-5.62E-07,624.2830291,-8.48E-08,-1.53E-08,9.80E-08,5.12E-08,-1.58E-08,-3.41E-07,3.80E-07,7.72E-08,2.91E-09,3.72E-07,-1.36E-07,-2.27E-07,0,-1.05E-09,-6.87E-07,4.21E-08,4.58E-07,-1.66E-07,2.04E-09,0,0,-8.68E-08,-4.57E-07,1.19E-07,3.94E-07,-1.83E-07,-1.41E-08,0,0,0,0,-2.90E-07,-4.60E-07,2.90E-07,-6.60E-07,0,2.60E-07,-1.10E-07,2.20E-07,2.00E-07,-8.03E-08,-7.97E-08,1.80E-07,4.00E-08,0.00E+00,4.70E-07,3.02E-08,-8.60E-07,-4.70E-07,8.30E-07,5.20E-08,0,0,-1.99E-08,-2.30E-07,-6.94E-08,-4.30E-07,-4.49E-07,-2.68E-06,-4.51E-07,3.99E-07,-6.31E-07,2.79E-07,-1.00E-06,-9.01E-08,-8.02E-08,3.70E-07,1.20E-07,1.11E-07,-1.10E-07,-5.00E-07,-7.96E-08,-1.80E-07,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,Depository Corporation Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net Foreign assets,"393,135","374,497","374,037","395,068","366,500","533,164","492,850","485,098","450,068","421,715","422,395","483,032","473,222","487,879","463,621","468,131","446,464","433,410","410,613","402,045","388,017","433,570","439,964","485,496","466,912","450,914","464,731","513,509","502,044","556,774","546,212","567,678","584,230","566,692","554,669","488,258","510,192","525,651","596,095","671,769","650,040","644,217","607,879","599,024","605,431","554,141","529,528","511,539","518,816","509,564","693,504","717,497","718,715","774,174","750,227","725,811","737,716","680,148","688,356","711,531","703,379","707,956","716,499","739,628","929,089","937,426","897,325","865,206","831,005","852,122","791,969","800,666","770,540","780,806","761,161","755,458","845,170","882,976","839,323","801,867","746,331","746,848","729,570","743,040","747,804","713,244","688,382","644,059","610,912","781,834","748,926","703,850","660,221","629,269","580,046","589,346","485,146","470,874","427,750","510,969","467,700","455,998","398,797","333,878","292,490","305,684","276,162","283,428","244,276","227,090","307,818",323274.2986,350069.3079,588239.3582,623621.1977,672017.7998,707853.269,743072.1595,771159.1573,792392.8258,856728.4671,950723.2744,770538.9966,832191.4844,791346.4628,910486.3734,961904.1394,891856.2643,923540.8259,887658.6653,864780.0965,865519.2926,827764.0604,825558.0592,966435.1301,925952.4859,1009496.221,1074027.369,1048024.671,1055004.011,948196.3954,1116898.049,1177141.762
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net Domestic Assets,"1,826,309","1,849,196","1,877,422","1,897,462","1,978,152","1,819,024","1,900,201","1,972,485","2,007,365","2,044,616","2,082,085","2,056,665","2,091,847","2,139,633","2,156,599","2,219,515","2,279,003","2,357,812","2,377,046","2,413,299","2,415,395","2,418,949","2,453,608","2,462,326","2,444,090","2,477,323","2,502,447","2,487,906","2,519,034","2,510,537","2,492,276","2,492,100","2,493,856","2,497,606","2,532,308","2,574,247","2,543,400","2,555,623","2,548,139","2,533,257","2,568,556","2,607,425","2,665,769","2,688,709","2,703,459","2,746,166","2,792,087","2,826,846","2,820,956","2,830,587","2,662,778","2,683,327","2,749,331","2,812,007","2,853,328","2,865,192","2,852,479","2,924,976","2,917,650","2,965,056","2,979,892","2,970,795","3,049,656","3,024,253","2,845,048","2,987,837","2,978,221","2,966,837","3,013,392","3,035,272","3,040,620","3,097,107","3,135,883","3,205,883","3,294,384","3,343,475","3,306,275","3,400,290","3,468,042","3,454,403","3,506,395","3,595,409","3,643,897","3,672,065","3,676,016","3,761,707","3,784,055","3,840,022","3,874,135","3,798,572","3,877,556","3,980,167","3,967,255","4,037,742","4,110,656","4,100,093","4,159,122","4,227,424","4,279,873","4,300,987","4,341,024","4,477,309","4,598,321","4,606,202","4,634,250","4,625,244","4,690,766","4,758,991","4,833,391","4,875,149","4,889,835",4935698.428,4959851.967,4987200.512,5050175.911,5102627.307,5133277.581,5139650.552,5181170.257,5252140.031,5254357.644,5053257.329,5026423.522,5004080.666,5058731.355,5055133.715,5055936.097,5118293.476,5068610.029,5099806.781,5243593.345,5240021.53,5269359.283,5327064.463,5210947.794,5336890.241,5349699.765,5376411.882,5374685.546,5400884.725,5513621.162,5378843.648,5442918.507
,Domestic Credit,"2,309,868","2,348,459","2,390,476","2,419,283","2,478,991","2,334,765","2,434,483","2,498,194","2,575,073","2,598,091","2,658,336","2,642,375","2,671,672","2,761,773","2,783,106","2,835,753","2,910,353","2,986,891","3,032,695","3,079,974","3,087,500","3,097,248","3,159,882","3,159,753","3,124,748","3,200,773","3,187,045","3,195,378","3,235,998","3,232,587","3,203,000","3,249,012","3,281,553","3,323,976","3,343,158","3,386,309","3,391,599","3,413,628","3,391,961","3,337,634","3,380,774","3,452,082","3,502,981","3,539,612","3,551,276","3,595,327","3,648,176","3,679,484","3,685,769","3,696,067","3,534,999","3,600,114","3,621,133","3,692,852","3,735,646","3,777,038","3,782,529","3,882,836","3,882,248","3,888,353","3,941,317","3,937,386","4,035,890","4,019,391","3,882,251","4,016,062","4,025,977","4,034,720","4,091,511","4,123,258","4,125,394","4,161,320","4,206,101","4,278,064","4,393,004","4,448,486","4,438,513","4,557,574","4,620,026","4,650,444","4,682,996","4,790,700","4,878,535","4,869,627","4,907,088","5,003,059","5,004,583","5,060,207","5,118,490","5,070,394","5,151,136","5,297,851","5,309,164","5,391,331","5,496,980","5,566,513","5,664,733","5,688,387","5,740,968","5,716,623","5,778,712","5,898,320","6,028,349","6,075,837","6,088,723","6,141,980","6,220,374","6,246,348","6,362,269","6,431,311","6,486,212",6528161.466,6558019.043,6618113.095,6702519.947,6761437.491,6835670.764,6874287.393,6988712.782,7041086.511,7133809.285,6938618.694,6826468.003,6832624.995,6852137.553,6837289.076,6930810.814,6945645.068,6868384.67,6944798.508,7205764.983,7197302.85,7293249.965,7397912.571,7333087.096,7469595.631,7493665.337,7557764.574,7619933.364,7633594.754,7820267.708,7752104.551,7841397.459
,Central Government (Net),"478,214","492,813","504,566","493,853","519,843","325,045","399,130","429,954","454,503","452,874","479,594","424,519","434,276","499,221","509,442","515,227","531,321","558,589","555,489","564,635","535,102","515,740","556,672","538,145","500,721","577,585","556,794","560,444","581,341","567,035","521,176","542,278","545,771","572,170","568,035","583,775","577,767","610,456","593,177","539,677","579,282","644,024","682,454","702,505","684,265","725,043","739,222","752,860","775,158","784,467","618,400","674,643","671,052","732,523","769,153","790,150","782,064","860,011","847,247","862,498","910,095","899,102","977,126","937,842","777,674","885,921","868,513","854,336","867,543","885,008","863,978","905,015","939,829","998,706","1,056,675","1,087,683","1,082,182","1,193,257","1,212,609","1,231,954","1,234,471","1,323,408","1,367,036","1,366,265","1,371,555","1,438,011","1,439,070","1,502,462","1,551,743","1,467,886","1,551,323","1,645,494","1,618,362","1,679,927","1,737,533","1,766,338","1,838,507","1,826,263","1,818,498","1,769,502","1,811,973","1,880,018","1,954,919","1,987,680","1,947,264","1,954,358","2,016,620","2,011,790","2,102,704","2,132,152","2,116,625",2089426.41,2096641.248,2132261.163,2203896.16,2171536.145,2175976.548,2154336.952,2217770.198,2227284.173,2299467.176,2165894.04,2073924.796,2064174.29,2127509.597,2101625.936,2221222.015,2208158.455,2102301.056,2155807.475,2406906.821,2367465.708,2485227.963,2597903.047,2485304.95,2597446.365,2606854.122,2644567.25,2682703.157,2683797.852,2782129.884,2639225.886,2707133.387
,County Government (Net),"3,431",106.2031989,"3,175","3,050","3,049","3,048","3,092",141.4094299,128.6762578,125.0056971,139.7800661,275.5274168,349.2106204,174.9126133,172.2985061,168.0187162,"11,950",212.1761794,164.2052225,"3,337","3,403","3,444","3,388","4,990","3,332","3,330","3,271","3,288","3,328","3,372","3,431","3,489","3,511","3,559","5,720","3,607","3,710","3,642","3,632","3,646","3,677","3,678","4,746","3,914","4,012","3,913","3,795","3,779","4,009","4,022","4,051","4,052","4,190","4,181","4,223","4,249","4,203","4,172","4,188","4,185","4,230","4,222","4,179","4,196","4,154","4,148","4,172","4,193","4,392","4,185","4,179","4,181","4,209","4,202","4,047","4,184","4,197","4,293","4,311","4,117","4,548","4,198","4,134","5,576","5,951","5,646","5,682","6,186","6,541","6,583","6,743","6,688","6,595","6,380","6,110","18,222","5,848","6,169","6,761","6,696","6,235","5,796","5,712","5,808","5,252","5,603","7,341","6,271","6,245","6,197","6,834",7200.032462,6542.69698,6948.092748,5629.404028,5888.331989,5349.327549,5371.772788,5194.460131,5413.210567,5426.770788,5335.559552,5491.149496,5794.419247,6622.012183,6575.108491,6618.383538,7209.271507,7198.371205,7482.817983,2804.179274,2226.128845,7001.98393,6989.0261,17954.94188,17913.42386,9873.217178,16059.4004,16029.08245,14545.72467,13935.08852,16090.18087,17630.7707
,Public Non Financial Corp (Net),"35,807","36,657","36,213","39,591","36,394","37,549","35,998","38,376","51,588","48,986","48,979","48,753","55,652","65,128","67,703","68,695","62,373","82,413","82,829","81,153","79,757","82,880","78,333","77,355","78,080","80,078","80,642","78,124","78,417","76,047","84,962","83,679","86,680","92,383","100,017","100,790","106,343","98,582","101,767","102,951","100,217","102,615","105,728","107,355","109,127","108,197","108,126","108,195","111,825","110,093","110,341","110,140","110,676","109,543","106,151","105,678","104,730","102,118","103,599","97,415","96,812","97,652","96,262","95,390","99,028","94,196","93,689","94,696","95,736","95,589","96,719","88,302","88,998","87,458","87,440","89,164","90,285","85,014","84,981","62,316","63,430","64,223","65,964","64,964","65,286","64,136","63,236","56,318","60,090","57,162","55,698","53,954","54,410","54,165","58,732","61,891","58,843","57,706","59,267","63,522","61,241","57,274","56,291","57,793","51,325","52,352","52,925","54,059","59,029","51,876","62,615",56392.28221,56473.12176,51071.5143,64609.63689,59488.0933,67400.29669,81908.78838,79923.00331,70017.15164,70408.92148,66487.09453,61624.88014,49965.36082,50897.85065,56086.24253,55781.5416,59214.55915,54674.77482,48608.19734,45316.49534,45017.40966,44495.72189,44911.78224,36566.03092,21421.00173,28522.53254,24301.58106,17971.8351,17419.15208,17318.3435,20161.74526,17927.90228
